average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.567325,-0.003255796595476568,1.7334111,0.2708930343389511,278.44,5.8,264.94,5.6,0.8992867763825598,3677,3384,141.0,36096,2310144
2.5712938,-0.0036238182871602474,1.9603555,0.27385212153196337,281.06,5.3,287.28,5.2,0.8755520166289723,3664,3408,142.0,36352,2326528
2.5812075,-0.00435472734970972,2.2033877,0.25441095128655433,280.27,5.3,264.02,5.9,0.9050504612885022,3684,3432,143.0,36608,2342912
2.5419102,-0.0029143519792705773,2.7347493,0.28673617243766786,232.35,6.4,236.09,6.4,0.8889732986719826,3645,3456,144.0,36864,2359296
2.5521655,-0.0034311660844832657,2.4487338,0.2934692071378231,252.52,6.2,239.97,5.9,0.9290641568984398,3679,3480,145.0,37120,2375680
2.5992026,-0.002676411534193903,1.8163037,0.3078510603308678,276.13,5.7,289.37,5.3,0.8974950915719926,3650,3504,146.0,37376,2392064
2.6051986,-0.002795149760786444,1.9999211,0.31148454040288925,305.43,4.9,309.34,5.2,0.8983995268748077,3663,3528,147.0,37632,2408448
2.574352,-0.0032789175282232465,2.195228,0.2781383490562439,299.83,5.2,317.93,4.5,0.9144321995965325,3634,3552,148.0,37888,2424832
2.5527604,-0.0033521053893491625,2.5748208,0.26043306112289427,283.43,5.4,273.01,5.3,0.9408678866368821,3647,3576,149.0,38144,2441216
2.5467732,-0.003192742238752544,2.3246279,0.25066013529896736,294.19,5.2,284.47,5.5,0.9256975055553988,3650,3600,150.0,38400,2457600
2.5432954,-0.003290302990935743,2.013788,0.25702416434884073,274.12,5.5,258.91,6.2,0.9102179051494935,3649,3624,151.0,38656,2473984
2.5624077,-0.0028080192138440906,1.7975559,0.2383346326649189,280.95,5.2,257.05,5.9,0.9161609736414079,3624,3648,152.0,38912,2490368
2.563911,-0.002447430957108736,2.0982084,0.2621412681043148,268.19,5.5,278.01,5.4,0.8920832847449067,3677,3672,153.0,39168,2506752
2.5803115,-0.0029076396115124224,1.7617304,0.24212366461753845,266.79,5.7,273.12,5.5,0.9425170922245036,3624,3696,154.0,39424,2523136
2.5528924,-0.003382265754044056,2.1769674,0.24206395253539084,310.69,5.0,289.65,5.5,0.8859347021849636,3664,3720,155.0,39680,2539520
2.5618436,-0.003267288785427809,2.1110873,0.2784100230038166,283.21,5.2,287.78,5.7,0.8932520769423141,3657,3744,156.0,39936,2555904
2.5912285,-0.0028324518795125185,1.5947995,0.2726132310926914,236.58,6.2,261.04,6.0,0.899916120664715,3627,3768,157.0,40192,2572288
2.5794408,-0.0034463661606423555,1.8495048,0.28229046173393724,257.33,5.6,266.09,5.8,0.9114876955526181,3673,3792,158.0,40448,2588672
2.6057193,-0.003938945035915822,1.5016721,0.27034089267253875,279.84,5.3,288.08,4.9,0.9160968720986409,3643,3816,159.0,40704,2605056
2.5810893,-0.003225930251646787,1.951379,0.23937471702694893,274.61,5.8,325.39,4.1,0.9040477609385994,3672,3840,160.0,40960,2621440
2.593715,-0.0036106397421099244,2.023861,0.2569600683450699,270.75,5.9,291.21,4.9,0.8690227989883523,3663,3864,161.0,41216,2637824
2.6138928,-0.0033677079854533077,1.4707956,0.260625067949295,265.89,5.9,277.39,5.6,0.896348317677863,3703,3888,162.0,41472,2654208
2.6122677,-0.0032561705878470094,1.572207,0.2891687694191933,269.07,5.9,267.36,6.0,0.8715743197122743,3670,3912,163.0,41728,2670592
2.6046708,-0.003807028030278161,1.5211562,0.2674261479079723,257.36,5.8,282.89,5.5,0.9403045557601429,3702,3936,164.0,41984,2686976
2.5883822,-0.0037639524659607558,1.5851727,0.23309774011373519,282.68,5.3,286.23,5.1,0.928214727984436,3679,3960,165.0,42240,2703360
2.5927548,-0.0033652785152662543,1.5068054,0.2259688712656498,262.49,5.8,250.58,5.8,0.8796008605081131,3662,3984,166.0,42496,2719744
2.5964353,-0.002644017436541617,1.640793,0.20220367401838302,288.0,5.3,269.83,5.5,0.9261506011336821,3626,4008,167.0,42752,2736128
2.5927813,-0.003321348410099745,1.6233283,0.23836972244083882,303.41,5.3,289.79,5.3,0.8996963311867764,3656,4032,168.0,43008,2752512
2.5946407,-0.0029456970351748168,1.3923944,0.2281483843177557,289.89,5.3,289.78,5.2,0.9335454206527519,3614,4056,169.0,43264,2768896
2.5785387,-0.003063098422717303,1.8762721,0.22604746080935,301.91,4.4,257.39,5.8,0.8824030606290376,3674,4080,170.0,43520,2785280
2.590279,-0.003074635707307607,2.1068506,0.23092070154845715,277.39,5.1,270.22,5.5,0.9273160124024006,3644,4104,171.0,43776,2801664
2.596993,-0.003441420865710825,1.6628633,0.21671408228576183,293.06,5.3,266.9,5.7,0.9121886896725824,3644,4128,172.0,44032,2818048
2.5696523,-0.003015452199615538,1.7652204,0.24477077282965184,280.59,5.7,232.71,6.2,0.8627488509961373,3658,4152,173.0,44288,2834432
2.5971055,-0.002870528348721564,1.9397888,0.25160505071282385,259.46,5.7,247.77,5.9,0.9084621288627976,3634,4176,174.0,44544,2850816
2.5963647,-0.0032106064213439822,1.9077764,0.24149710729718207,283.11,5.3,271.79,5.5,0.923193313817529,3683,4200,175.0,44800,2867200
2.6025004,-0.003057487497571856,1.8279834,0.2571807707846165,270.19,5.7,239.5,6.2,0.8896749968121277,3649,4224,176.0,45056,2883584
2.5892484,-0.0034236999857239427,1.488552,0.2770376256108284,245.99,6.5,265.24,5.8,0.8878061356590066,3670,4248,177.0,45312,2899968
2.5745254,-0.0034774807118810713,1.666717,0.2686379066109657,277.7,5.6,250.88,6.1,0.9130272208845758,3661,4272,178.0,45568,2916352
2.5552564,-0.0037619779841043055,2.0035307,0.310754106938839,311.4,4.9,281.9,5.6,0.8260857430689974,3696,4296,179.0,45824,2932736
2.5335174,-0.00333422074560076,2.350088,0.2961406198143959,302.06,5.0,295.92,5.2,0.9152677295181267,3645,4320,180.0,46080,2949120
2.5535161,-0.0028072315640747547,2.10089,0.286111955344677,296.28,5.1,292.11,5.0,0.9136388842054798,3674,4344,181.0,46336,2965504
